index	sample-1	sample-2	sample-3	sample-4	sample-5	sample-6	sample-7	sample-8	sample-9	sample-10	sample-11	sample-12	sample-13	sample-14	sample-15	sample-16	sample-17	sample-18	sample-19	sample-20	sample-21	sample-22	sample-23	sample-24	sample-25	sample-26	sample-27	sample-28	sample-29	sample-30	sample-31	sample-32	sample-33	sample-34	sample-35	sample-36	sample-37	sample-38	sample-39	sample-40	sample-41	sample-42	sample-43	sample-44	sample-45	sample-46	sample-47	sample-48	sample-49	sample-50	sample-51	sample-52	sample-53	sample-54	sample-55	sample-56	sample-57	sample-58	sample-59	sample-60	sample-61	sample-62	sample-63	sample-64	sample-65	sample-66	sample-67	sample-68	sample-69	sample-70	sample-71	sample-72	sample-73	sample-74	sample-75	sample-76	sample-77	sample-78	sample-79	sample-80	sample-81	sample-82	sample-83	sample-84	sample-85	sample-86	sample-87	sample-88	sample-89	sample-90	sample-91	sample-92	sample-93	sample-94	sample-95	sample-96	sample-97	sample-98	sample-99	sample-100	sample-101	sample-102	sample-103	sample-104	sample-105	sample-106	sample-107	sample-108	sample-109	sample-110	sample-111	sample-112	sample-113	sample-114	sample-115	sample-116	sample-117	sample-118	sample-119	sample-120
g__Tetragenococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	5	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0
Unclassified_17(f__Lactobacillaceae)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	9	0	0	6	3	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	35	177	18	31	30	40	70	16	83	5	6	0	0	20	0	0	2	6	2	0	10	5	11	2	2	3	0	3	0
g__Lactobacillus	3	162	568	104	12	17	384	294	31	60	73	141	88	7	7	6	0	7	20	72	5	0	3	16	9	0	12	4	0	3	5607	8154	1541	1000	574	554	380	4254	4194	297	3142	4228	2241	1821	302	45	65	326	95	379	209	35	9	22	94	200	1017	138	65	1600	57	108	41	78	66	135	171	1697	166	47	191	155	28	34	222	42	67	234	328	915	88	76	28	177	1468	122	4562	146	600	471	301	702	185	105	351	126	199	714	373	146	82	252	58	215	66	39	107	206	101	83	42	80	60	73	82	168	76	31	389	34
g__Pediococcus	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	81	110	5287	119	11492	182	113	6761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4632	3789	6597	1210	2125	5822	2080	1661	805	1110	834	390	242	360	903	207	1529	389	434	197	55	177	416	424	319	353	901	191	4904	345
g__Leuconostoc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	21	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Weissella	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	15	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	34	27	22	329	29	1125	93	36	715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	1956	279	620	227	481	627	407	287	276	309	89	133	101	32	98	23	63	117	47	26	25	197	79	13	55	21	35	24	15
g__Lactococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	35	3	0	2	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	6	0	3	12	0	0	9	0	12	2	0	1	0	0	0	0	0	0	0	0	0
g__Streptococcus	10	5	11	2	27	5	2	25	16	17	0	4	16	8	3	7	3	2	113	225	11	11	3	22	41	0	12	9	8	13	11	61	13	13	20	19	18	19	19	11	38	44	8	33	0	9	8	21	41	23	17	50	10	18	71	30	24	164	206	129	6	48	2	14	15	4	3	4	16	7	9	34	0	10	11	10	8	32	26	36	6	5	4	15	65	10	24	16	13	40	41	133	52	94	148	162	26	90	46	112	9	25	243	37	23	44	60	217	10	16	9	35	7	12	5	25	14	13	41	23
g__Turicibacter	0	3	4	0	2	138	29	0	14	8	27	3	6	0	11	0	0	65	9	0	6	19	38	5	0	11	18	14	9	57	2	0	4	0	0	0	0	7	3	0	8	0	0	3	2	0	0	0	0	7	0	2	0	4	12	2	2	0	14	23	0	0	0	0	0	0	0	8	0	19	4	4	0	0	14	2	6	4	3	5	6	3	6	11	5	8	9	0	4	18	0	0	9	2	0	0	3	2	2	8	11	9	54	12	39	4	2	16	5	7	0	7	5	6	0	0	11	0	0	2
Unclassified_18(o__Clostridiales)	0	334	1009	449	400	800	152	104	173	258	1039	31	141	647	22231	2584	2561	1877	874	414	885	1513	3591	393	664	728	3381	1437	1367	1214	26	54	129	48	76	27	123	93	71	28	108	62	102	85	149	94	46	97	75	166	126	40	79	132	29	133	26	39	100	380	160	35	100	14	19	15	22	12	115	65	58	83	116	29	252	102	66	52	81	224	73	103	90	80	128	76	138	320	142	216	56	54	77	25	87	74	52	41	52	39	67	66	85	90	110	63	85	157	68	39	33	126	48	55	48	53	117	59	142	172
